TRADEDATE,AFKS,AFLT,ALRS,CHMF,GAZP,GMKN,HYDR,IRAO,MAGN,MGNT,MOEX,MTSS,NLMK,NVTK,PHOR,PIKK,PLZL,POLY,ROSN,RTKM,RUAL,SBER,SBERP,SNGS,SNGSP,TATN,TATNP,TRNFP,VTBR,YNDX
2015-01-05,12.25,33.21,60.38,522.0,133.95,8590.0,0.5656,,11.279,9877.0,60.4,174.7,66.285,455.5,1784.0,191.7,1000.5,507.5,196.75,91.44,,56.37,38.59,24.24,29.6,238.0,134.7,130100.0,0.0675,1079.0
2015-01-06,12.37,33.07,61.28,556.9,138.92,9101.0,0.5684,,11.55,10400.0,61.9,179.9,66.7,476.7,1855.0,198.9,1047.0,545.5,200.3,95.28,,58.28,39.5,25.015,30.195,228.75,135.3,142990.0,0.06666,1092.0
2015-01-08,12.6,35.17,60.2,542.7,146.46,9550.0,0.5772,,12.35,10627.0,61.9,190.05,67.41,483.0,1776.0,191.2,1060.0,530.0,214.95,90.1,,65.7,43.75,26.265,31.6,245.0,136.0,130000.0,0.06741,1094.0
2015-01-09,12.61,34.0,61.91,548.55,141.7,9740.0,0.5498,,12.1,10542.0,60.14,195.0,67.9,475.1,1798.0,192.7,1050.0,541.0,206.6,89.03,,63.1,42.9,25.65,32.01,234.05,134.5,120820.0,0.06531,1098.0
2015-01-12,12.13,34.45,63.0,558.45,140.22,9839.0,0.5451,,11.893,10689.0,59.59,193.0,70.12,470.7,1795.0,188.0,1020.0,550.0,204.0,88.8,,62.9,42.41,25.45,31.36,228.25,133.3,128000.0,0.06353,1113.0
2015-01-13,12.25,35.0,66.4,583.0,142.64,10025.0,0.5415,,12.38,11180.0,58.51,204.5,72.505,489.4,1843.0,195.4,1035.5,562.0,204.9,87.24,,60.31,40.82,25.6,32.3,234.7,133.8,130990.0,0.0605,1153.0
2015-01-14,12.6,36.55,71.7,595.0,146.3,9600.0,0.552,,12.546,11450.0,61.22,210.2,72.35,497.9,1867.0,192.8,1024.0,559.0,209.5,86.73,,60.05,41.5,25.835,32.7,244.55,132.2,131910.0,0.0601,1177.0
2015-01-15,12.54,36.65,68.6,577.0,147.0,9290.0,0.5495,,12.28,11304.0,61.8,216.5,75.18,483.2,1890.0,189.8,1045.0,593.0,219.9,87.73,,61.8,41.7,25.99,32.82,251.3,137.5,130000.0,0.06273,1175.0
2015-01-16,12.43,36.05,69.55,587.9,149.6,9561.0,0.546,,12.151,11350.0,62.5,215.8,75.7,490.0,1955.0,194.1,1076.0,588.5,226.0,88.05,,61.99,42.03,26.15,34.25,260.0,137.3,130980.0,0.06522,1165.0
2015-01-19,12.48,36.34,69.7,589.0,148.11,9417.0,0.5381,,12.24,11235.0,63.45,215.0,75.43,487.0,2008.0,188.7,1090.0,586.5,225.3,88.0,,61.8,42.09,26.3,34.9,261.0,136.7,129790.0,0.06401,1165.0
2015-01-20,12.5,37.2,71.0,586.9,145.75,9470.0,0.5416,0.7641,12.366,11395.0,62.0,214.15,76.85,475.0,2054.0,188.1,1119.0,596.5,227.0,87.3,,60.8,42.24,26.6,36.4,257.0,137.4,130900.0,0.0621,1122.0
2015-01-21,12.63,38.1,76.5,592.0,148.8,9675.0,0.56,0.775,12.405,11855.0,64.5,222.95,76.47,490.4,2080.0,188.0,1120.0,602.0,234.6,87.5,,62.8,43.29,28.38,36.8,275.0,140.9,130900.0,0.0635,1083.0
2015-01-22,13.6,39.55,77.5,599.5,151.5,10386.0,0.5687,0.7908,12.8,12070.0,68.0,227.0,79.895,523.7,2111.0,188.0,1119.0,596.0,241.8,87.6,,64.35,44.8,29.95,38.1,287.3,150.9,132500.0,0.06362,1106.0
2015-01-23,13.62,40.15,76.0,587.0,152.83,10400.0,0.5609,0.7889,12.899,11750.0,69.11,228.0,79.505,512.0,2114.0,188.0,1070.0,587.0,243.9,90.7,,64.45,45.94,29.475,39.425,297.95,151.8,131970.0,0.0638,1117.0
2015-01-26,12.9,38.26,73.45,616.15,148.0,10755.0,0.5432,0.74,12.81,11540.0,66.6,214.25,82.845,504.0,2139.0,188.0,1051.0,610.0,237.25,87.11,,60.49,42.88,28.555,38.925,285.65,150.0,126630.0,0.0626,1121.0
2015-01-27,12.72,38.0,77.9,632.5,150.9,11179.0,0.5451,0.734,13.3,11270.0,67.84,215.55,86.695,505.5,2177.0,186.2,1040.0,602.0,239.0,86.5,,61.2,43.8,30.34,41.415,297.9,148.0,133500.0,0.06364,1095.0
2015-01-28,12.4,38.11,75.3,630.85,147.7,11534.0,0.5359,0.7273,13.048,10200.0,68.0,214.0,86.11,488.0,2245.0,186.6,1055.0,609.0,231.5,86.7,,60.63,43.15,29.1,40.35,289.0,154.2,135300.0,0.06718,1081.0
2015-01-29,12.74,37.3,76.3,634.2,145.0,11450.0,0.508,0.706,13.1,10550.0,69.3,219.55,89.155,480.4,2269.0,187.4,1055.0,619.5,226.55,85.5,,60.5,43.39,29.13,40.75,280.1,155.2,132740.0,0.0665,1075.0
2015-01-30,13.33,38.25,78.49,642.35,143.82,11610.0,0.5251,0.72,13.134,10590.0,70.0,217.85,91.995,460.0,2291.0,189.7,1049.5,638.0,229.35,86.61,,61.5,43.84,31.1,41.6,270.15,157.7,141900.0,0.06894,1075.0
2015-02-02,14.05,37.34,76.1,645.9,138.18,11280.0,0.511,0.72,13.16,10190.0,69.66,227.3,88.5,472.0,2260.0,188.1,1046.5,622.5,230.55,84.5,,61.4,42.7,31.7,41.9,285.0,161.0,137650.0,0.06696,998.0
2015-02-03,15.4,37.55,82.0,632.0,140.35,10990.0,0.5197,0.7171,13.715,10400.0,73.5,233.05,88.5,482.3,2226.0,187.9,1054.0,600.0,238.35,86.0,,62.0,43.23,32.99,42.85,294.0,163.4,139400.0,0.0677,997.0
2015-02-04,16.75,37.09,78.2,656.0,142.6,10750.0,0.518,0.7202,13.689,10340.0,73.3,232.0,89.305,478.5,2238.0,188.0,1052.0,614.0,239.0,85.6,,61.04,42.51,32.2,41.895,301.0,164.9,133810.0,0.06689,1050.0
2015-02-05,16.2,37.75,77.42,663.4,147.6,11100.0,0.5182,0.7385,13.638,10235.0,72.0,235.5,88.495,500.2,2226.0,188.5,1061.0,606.5,251.0,87.8,,62.41,43.5,34.095,42.61,319.35,171.5,136110.0,0.06786,1090.0
2015-02-06,16.5,38.0,79.0,701.2,151.6,11394.0,0.5292,0.7495,13.766,11075.0,74.8,240.8,91.045,522.2,2247.0,190.8,1060.0,619.0,261.0,89.8,,64.31,44.7,35.5,43.67,335.5,181.8,141950.0,0.06826,1084.0
2015-02-09,17.6,37.6,78.45,696.0,149.3,11352.0,0.5272,0.7888,14.13,11440.0,74.2,240.6,89.83,527.5,2242.0,203.0,1069.0,614.0,257.0,91.0,,65.57,45.6,35.85,43.7,324.0,184.0,139000.0,0.068,1078.0
2015-02-10,17.84,37.83,76.16,688.0,149.31,11345.0,0.5291,0.8071,14.216,11490.0,71.26,230.05,89.15,520.0,2240.0,204.2,1063.0,609.0,257.05,90.51,,65.0,45.28,36.6,44.4,320.55,183.8,136000.0,0.06821,1045.0
2015-02-11,17.85,38.0,77.15,695.0,150.55,11697.0,0.5275,0.877,14.5,11500.0,70.5,237.95,88.6,530.9,2319.0,202.0,1136.0,604.0,265.35,91.5,,65.12,45.93,36.8,43.815,320.5,183.7,140020.0,0.06905,1037.0
2015-02-12,18.38,39.39,73.6,713.0,157.7,12037.0,0.5385,0.8985,14.12,11855.0,72.5,250.95,88.79,539.5,2298.0,205.1,1100.5,601.0,274.05,90.1,,67.21,48.68,36.5,42.31,340.0,185.9,138500.0,0.069,1071.0
2015-02-13,18.85,40.4,73.35,711.5,162.4,12106.0,0.61,0.9001,14.01,12250.0,72.5,257.35,89.2,543.8,2209.0,204.2,1112.0,583.0,290.2,91.75,,70.6,52.77,36.6,41.51,353.0,185.0,139990.0,0.0694,1115.0
2015-02-16,20.05,40.41,72.5,685.0,160.19,11900.0,0.608,0.89,13.9,11920.0,74.88,252.3,85.5,524.6,2177.0,203.4,1150.0,582.0,279.7,91.1,,70.0,52.7,35.535,41.295,335.0,176.8,143010.0,0.06725,1070.0
2015-02-17,19.1,40.15,72.4,698.6,159.2,11375.0,0.5749,0.885,14.58,11820.0,75.45,252.0,85.555,522.7,2218.0,204.8,1130.5,576.0,275.95,91.0,,72.45,53.0,35.185,41.455,338.6,173.4,145400.0,0.06709,1030.0
2015-02-18,18.82,40.98,73.48,702.0,163.0,11140.0,0.6,0.8996,14.529,11766.0,78.4,250.35,85.65,527.5,2190.0,205.1,1118.5,561.5,281.45,91.78,,76.4,55.5,35.1,40.4,335.15,177.5,145820.0,0.06684,1084.0
2015-02-19,18.17,39.93,75.0,706.0,160.9,11355.0,0.5925,0.8639,14.4,11800.0,76.75,257.0,85.885,529.2,2123.0,198.6,1110.0,566.0,275.75,92.0,,73.78,53.19,34.85,40.16,343.3,179.4,144850.0,0.06696,1049.0
2015-02-20,18.28,40.0,75.7,704.9,158.0,11330.0,0.6285,0.884,14.52,11796.0,75.69,252.5,85.9,518.1,2128.0,194.5,1096.0,570.0,274.0,91.03,,74.75,54.09,34.335,40.35,345.8,178.0,146400.0,0.0666,1053.0
2015-02-24,17.32,39.6,73.87,698.1,154.99,11348.0,0.6002,0.86,14.471,11687.0,76.5,250.3,84.58,518.3,2127.0,194.7,1100.0,557.5,268.65,88.75,,73.7,52.67,34.2,39.455,340.0,181.3,143300.0,0.06451,1038.0
2015-02-25,17.71,38.99,73.0,689.0,150.7,11061.0,0.6025,0.8585,14.228,11510.0,76.6,248.6,83.03,506.7,2070.0,189.8,1105.0,551.5,263.45,86.6,,74.2,52.36,33.58,38.65,326.6,174.0,138290.0,0.0667,1025.0
2015-02-26,18.03,39.5,70.12,684.0,151.65,11093.0,0.647,0.922,14.26,11574.0,77.45,253.5,81.695,499.3,2090.0,189.2,1111.5,533.5,263.85,89.8,,75.95,54.45,34.715,39.66,327.55,170.9,137000.0,0.0701,1009.0
2015-02-27,18.32,39.19,68.5,682.0,152.95,11182.0,0.6448,0.9188,14.6,11305.0,76.9,249.0,81.1,503.7,2109.0,195.0,1110.0,541.5,265.85,91.0,,75.91,53.7,34.2,38.69,316.0,168.6,138000.0,0.068,1016.0
2015-03-02,18.12,39.5,68.95,707.6,155.5,11269.0,0.6458,0.9303,14.93,11367.0,76.01,247.55,82.7,512.2,2141.0,192.1,1130.0,539.5,269.7,90.7,,76.2,54.1,36.5,41.01,330.95,169.8,136630.0,0.0681,1000.0
2015-03-03,18.0,39.89,72.05,738.45,159.0,11480.0,0.6427,0.9259,15.9,11650.0,74.88,257.25,84.94,522.0,2199.0,192.5,1138.0,541.0,277.0,90.32,,75.55,54.15,36.82,42.325,333.55,176.0,140240.0,0.06951,1000.0
2015-03-04,17.6,38.55,73.95,730.0,154.0,11140.0,0.63,0.9558,15.73,11100.0,70.67,252.0,81.75,512.7,2190.0,188.0,1134.5,518.5,264.95,90.0,,72.31,52.91,35.9,41.3,319.0,175.9,136970.0,0.068,996.0
