TRADEDATE,SBER_price,TATN_price,SBERP_price,PIKK_price,PLZL_price,AFKS_price,RUAL_price,GAZP_price,GMKN_price,MOEX_price,SBER_ret,TATN_ret,SBERP_ret,PIKK_ret,PLZL_ret,AFKS_ret,RUAL_ret,GAZP_ret,GMKN_ret,MOEX_ret
2015-01-06,58.28,228.75,39.5,198.9,1047.0,12.37,,138.92,9101.0,61.9,0.0338832712435692,-0.0388655462184873,0.0235812386628659,0.0375586854460094,0.0464767616191903,0.0097959183673468,,0.0371033967898468,0.059487776484284,0.0248344370860926
2015-01-08,65.7,245.0,43.75,191.2,1060.0,12.6,,146.46,9550.0,61.9,0.1273164035689773,0.0710382513661203,0.1075949367088606,-0.0387129210658623,0.0124164278892071,0.0185933710590138,,0.0542758422113447,0.0493352378859466,0.0
2015-01-09,63.1,234.05,42.9,192.7,1050.0,12.61,,141.7,9740.0,60.14,-0.0395738203957382,-0.0446938775510203,-0.0194285714285714,0.0078451882845187,-0.0094339622641509,0.0007936507936507,,-0.0325003413901408,0.0198952879581151,-0.02843295638126
2015-01-12,62.9,228.25,42.41,188.0,1020.0,12.13,,140.22,9839.0,59.59,-0.0031695721077654,-0.0247810296945097,-0.0114219114219115,-0.0243902439024389,-0.0285714285714285,-0.0380650277557492,,-0.0104446012702892,0.0101642710472278,-0.0091453275690056
2015-01-13,60.31,234.7,40.82,195.4,1035.5,12.25,,142.64,10025.0,58.51,-0.0411764705882352,0.0282584884994523,-0.0374911577458145,0.0393617021276595,0.0151960784313724,0.0098928276999175,,0.0172585936385678,0.0189043601992071,-0.0181238462829335
2015-01-14,60.05,244.55,41.5,192.8,1024.0,12.6,,146.3,9600.0,61.22,-0.0043110595257835,0.0419684703877292,0.0166585007349338,-0.0133060388945751,-0.0111057460164172,0.0285714285714284,,0.0256590016825577,-0.0423940149625935,0.0463168689112971
2015-01-15,61.8,251.3,41.7,189.8,1045.0,12.54,,147.0,9290.0,61.8,0.029142381348876,0.0276017174401963,0.0048192771084338,-0.0155601659751036,0.0205078125,-0.0047619047619048,,0.0047846889952152,-0.0322916666666667,0.0094740280953935
2015-01-16,61.99,260.0,42.03,194.1,1076.0,12.43,,149.6,9561.0,62.5,0.0030744336569579,0.0346199761241543,0.0079136690647481,0.0226554267650156,0.0296650717703348,-0.0087719298245613,,0.017687074829932,0.0291711517761033,0.011326860841424
2015-01-19,61.8,261.0,42.09,188.7,1090.0,12.48,,148.11,9417.0,63.45,-0.0030650104855622,0.0038461538461538,0.0014275517487509,-0.0278207109737249,0.0130111524163569,0.0040225261464199,,-0.0099598930481281,-0.0150611860684028,0.0152000000000001
2015-01-20,60.8,257.0,42.24,188.1,1119.0,12.5,,145.75,9470.0,62.0,-0.0161812297734628,-0.0153256704980843,0.0035637918745545,-0.0031796502384737,0.026605504587156,0.001602564102564,,-0.0159341030315307,0.0056281193586067,-0.0228526398739165
2015-01-21,62.8,275.0,43.29,188.0,1120.0,12.63,,148.8,9675.0,64.5,0.0328947368421053,0.0700389105058365,0.0248579545454545,-0.0005316321105794,0.0008936550491509,0.0103999999999999,,0.020926243567753,0.0216473072861669,0.0403225806451612
2015-01-22,64.35,287.3,44.8,188.0,1119.0,13.6,,151.5,10386.0,68.0,0.0246815286624202,0.0447272727272727,0.0348810348810348,0.0,-0.0008928571428571,0.0768012668250197,,0.0181451612903225,0.0734883720930232,0.0542635658914729
2015-01-23,64.45,297.95,45.94,188.0,1070.0,13.62,,152.83,10400.0,69.11,0.0015540015540016,0.0370692655760527,0.0254464285714286,0.0,-0.0437890974084003,0.0014705882352941,,0.0087788778877888,0.0013479684190256,0.0163235294117647
2015-01-26,60.49,285.65,42.88,188.0,1051.0,12.9,,148.0,10755.0,66.6,-0.0614429790535299,-0.041282094311126,-0.0666086199390508,0.0,-0.0177570093457943,-0.0528634361233479,,-0.0316037427206701,0.0341346153846153,-0.0363189118796123
2015-01-27,61.2,297.9,43.8,186.2,1040.0,12.72,,150.9,11179.0,67.84,0.01173747726897,0.0428846490460352,0.0214552238805969,-0.0095744680851064,-0.0104662226450998,-0.0139534883720929,,0.0195945945945945,0.0394235239423523,0.0186186186186188
2015-01-28,60.63,289.0,43.15,186.6,1055.0,12.4,,147.7,11534.0,68.0,-0.009313725490196,-0.0298757972473984,-0.0148401826484018,0.0021482277121374,0.0144230769230768,-0.0251572327044025,,-0.0212060967528165,0.0317559710170856,0.0023584905660376
2015-01-29,60.5,280.1,43.39,187.4,1055.0,12.74,,145.0,11450.0,69.3,-0.0021441530595415,-0.0307958477508649,0.0055619930475088,0.0042872454448017,0.0,0.0274193548387096,,-0.0182802979011509,-0.0072828160221952,0.0191176470588234
2015-01-30,61.5,270.15,43.84,189.7,1049.5,13.33,,143.82,11610.0,70.0,0.0165289256198346,-0.0355230274901822,0.0103710532380734,0.0122732123799358,-0.00521327014218,0.0463108320251177,,-0.0081379310344827,0.0139737991266375,0.0101010101010101
2015-02-02,61.4,285.0,42.7,188.1,1046.5,14.05,,138.18,11280.0,69.66,-0.0016260162601626,0.0549694614103277,-0.0260036496350365,-0.0084343700579863,-0.0028585040495473,0.0540135033758439,,-0.0392156862745096,-0.028423772609819,-0.0048571428571428
2015-02-03,62.0,294.0,43.23,187.9,1054.0,15.4,,140.35,10990.0,73.5,0.009771986970684,0.0315789473684211,0.0124121779859482,-0.0010632642211588,0.0071667462971811,0.096085409252669,,0.0157041540020261,-0.0257092198581559,0.0551248923341947
2015-02-04,61.04,301.0,42.51,188.0,1052.0,16.75,,142.6,10750.0,73.3,-0.0154838709677419,0.0238095238095237,-0.0166551006245662,0.0005321979776475,-0.0018975332068311,0.0876623376623375,,0.0160313501959388,-0.021838034576888,-0.0027210884353742
2015-02-05,62.41,319.35,43.5,188.5,1061.0,16.2,,147.6,11100.0,72.0,0.0224442988204456,0.0609634551495017,0.0232886379675369,0.002659574468085,0.0085551330798478,-0.0328358208955223,,0.0350631136044881,0.0325581395348837,-0.0177353342428375
2015-02-06,64.31,335.5,44.7,190.8,1060.0,16.5,,151.6,11394.0,74.8,0.0304438391283448,0.0505714733051509,0.0275862068965517,0.0122015915119364,-0.000942507068803,0.0185185185185186,,0.0271002710027099,0.0264864864864864,0.0388888888888887
2015-02-09,65.57,324.0,45.6,203.0,1069.0,17.6,,149.3,11352.0,74.2,0.0195925983517335,-0.0342771982116244,0.0201342281879193,0.0639412997903563,0.0084905660377359,0.0666666666666666,,-0.0151715039577835,-0.0036861506055818,-0.0080213903743314
2015-02-10,65.0,320.55,45.28,204.2,1063.0,17.84,,149.31,11345.0,71.26,-0.0086929998474911,-0.010648148148148,-0.0070175438596491,0.005911330049261,-0.0056127221702525,0.0136363636363634,,6.69792364367261e-05,-0.0006166314305848,-0.0396226415094339
2015-02-11,65.12,320.5,45.93,202.0,1136.0,17.85,,150.55,11697.0,70.5,0.0018461538461538,-0.0001559819060988,0.0143551236749115,-0.0107737512242898,0.0686735653809971,0.000560538116592,,0.0083048690643627,0.0310268840899075,-0.0106651698007298
2015-02-12,67.21,340.0,48.68,205.1,1100.5,18.38,,157.7,12037.0,72.5,0.0320945945945945,0.0608424336973478,0.0598737208795994,0.0153465346534653,-0.03125,0.0296918767507001,,0.0474925273995348,0.0290672822091133,0.0283687943262411
2015-02-13,70.6,353.0,52.77,204.2,1112.0,18.85,,162.4,12106.0,72.5,0.0504389227793482,0.0382352941176471,0.0840180772391125,-0.0043881033642125,0.0104497955474784,0.0255712731229598,,0.0298034242232088,0.0057323253302317,0.0
2015-02-16,70.0,335.0,52.7,203.4,1150.0,20.05,,160.19,11900.0,74.88,-0.008498583569405,-0.0509915014164306,-0.0013265112753458,-0.0039177277179235,0.0341726618705036,0.0636604774535809,,-0.0136083743842364,-0.0170163555261854,0.0328275862068965
2015-02-17,72.45,338.6,53.0,204.8,1130.5,19.1,,159.2,11375.0,75.45,0.0350000000000001,0.0107462686567165,0.0056925996204932,0.0068829891838742,-0.0169565217391304,-0.0473815461346632,,-0.0061801610587427,-0.0441176470588234,0.0076121794871795
2015-02-18,76.4,335.15,55.5,205.1,1118.5,18.82,,163.0,11140.0,78.4,0.054520358868185,-0.0101890135853516,0.0471698113207548,0.00146484375,-0.0106147722246793,-0.0146596858638744,,0.0238693467336683,-0.0206593406593406,0.0390987408880052
2015-02-19,73.78,343.3,53.19,198.6,1110.0,18.17,,160.9,11355.0,76.75,-0.0342931937172775,0.0243174697896464,-0.0416216216216216,-0.0316918576304241,-0.0075994635672775,-0.0345377258235918,,-0.012883435582822,0.0192998204667864,-0.021045918367347
2015-02-20,74.75,345.8,54.09,194.5,1096.0,18.28,,158.0,11330.0,75.69,0.0131471943616154,0.0072822604136324,0.0169204737732657,-0.0206445115810673,-0.0126126126126125,0.0060539350577875,,-0.0180236171535115,-0.0022016732716865,-0.0138110749185668
2015-02-24,73.7,340.0,52.67,194.7,1100.0,17.32,,154.99,11348.0,76.5,-0.0140468227424749,-0.0167727009832273,-0.0262525420595304,0.0010282776349612,0.0036496350364962,-0.0525164113785558,,-0.0190506329113923,0.0015887025595764,0.0107015457788346
2015-02-25,74.2,326.6,52.36,189.8,1105.0,17.71,,150.7,11061.0,76.6,0.0067842605156038,-0.0394117647058822,-0.0058857034364914,-0.0251669234720081,0.0045454545454546,0.0225173210161662,,-0.0276792051100072,-0.025290800140994,0.0013071895424836
2015-02-26,75.95,327.55,54.45,189.2,1111.5,18.03,,151.65,11093.0,77.45,0.0235849056603774,0.002908756889161,0.0399159663865547,-0.0031612223393046,0.0058823529411764,0.018068887634105,,0.0063039150630392,0.0028930476448782,0.0110966057441255
2015-02-27,75.91,316.0,53.7,195.0,1110.0,18.32,,152.95,11182.0,76.9,-0.0005266622778143,-0.0352617920928103,-0.0137741046831956,0.0306553911205074,-0.0013495276653171,0.0160843039378812,,0.0085723705901745,0.0080230776165148,-0.0071013557133634
2015-03-02,76.2,330.95,54.1,192.1,1130.0,18.12,,155.5,11269.0,76.01,0.0038203135291794,0.0473101265822784,0.0074487895716945,-0.0148717948717949,0.018018018018018,-0.0109170305676855,,0.0166721150702844,0.0077803612949383,-0.0115734720416125
2015-03-03,75.55,333.55,54.15,192.5,1138.0,18.0,,159.0,11480.0,74.88,-0.0085301837270341,0.0078561716271341,0.0009242144177448,0.002082248828735,0.0070796460176991,-0.0066225165562914,,0.022508038585209,0.0187239329133019,-0.0148664649388239
2015-03-04,72.31,319.0,52.91,188.0,1134.5,17.6,,154.0,11140.0,70.67,-0.0428855062872269,-0.0436216459301453,-0.0228993536472761,-0.0233766233766233,-0.0030755711775043,-0.0222222222222221,,-0.0314465408805031,-0.0296167247386759,-0.0562232905982905
2015-03-05,72.7,313.4,53.5,188.4,1138.5,17.41,,154.8,11180.0,70.0,0.0053934448900567,-0.0175548589341693,0.0111510111510111,0.0021276595744681,0.0035257822829439,-0.0107954545454546,,0.0051948051948051,0.0035906642728904,-0.009480684873355
2015-03-06,73.25,298.2,53.36,188.4,1125.5,16.9,,152.12,10990.0,69.0,0.0075653370013755,-0.0485003190810465,-0.0026168224299065,0.0,-0.0114185331576636,-0.029293509477312,,-0.017312661498708,-0.0169946332737029,-0.0142857142857142
2015-03-10,69.8,283.65,50.77,188.1,1116.5,15.7,,148.05,10425.0,65.0,-0.047098976109215,-0.0487927565392354,-0.0485382308845576,-0.0015923566878981,-0.0079964460239893,-0.0710059171597632,,-0.0267551932684722,-0.051410373066424,-0.0579710144927536
2015-03-11,70.68,285.9,50.45,189.8,1118.0,15.06,,145.99,10588.0,67.9,0.0126074498567336,0.0079323109465891,-0.0063029348040181,0.0090377458798511,0.0013434841021047,-0.0407643312101909,,-0.0139142181695373,0.0156354916067147,0.0446153846153847
2015-03-12,70.79,284.85,49.95,189.8,1125.5,15.31,,144.7,10730.0,69.2,0.0015563101301641,-0.0036726128016787,-0.0099108027750247,0.0,0.0067084078711985,0.0166002656042496,,-0.0088362216590178,0.0134114091424253,0.0191458026509572
2015-03-13,67.87,277.95,48.6,187.3,1116.0,14.83,,141.8,10380.0,67.3,-0.0412487639497104,-0.0242232754081096,-0.027027027027027,-0.0131717597471021,-0.0084406930253221,-0.0313520574787721,,-0.0200414651002072,-0.032618825722274,-0.027456647398844
2015-03-16,65.57,272.0,46.91,178.9,1065.0,14.89,,139.75,10298.0,67.26,-0.0338883158980405,-0.021406727828746,-0.0347736625514404,-0.0448478376935398,-0.0456989247311827,0.0040458530006743,,-0.0144569816643159,-0.0078998073217726,-0.0005943536404159
2015-03-17,64.65,271.45,46.27,170.7,1000.0,16.0,,139.7,10595.0,66.5,-0.0140308067713891,-0.0020220588235294,-0.01364314645065,-0.0458356623812186,-0.0610328638497652,0.0745466756212223,,-0.0003577817531307,0.0288405515634104,-0.0112994350282487
2015-03-18,65.26,281.45,47.0,181.0,998.0,16.52,,140.25,10692.0,67.7,0.0094354215003866,0.0368391969055075,0.0157769613140263,0.0603397773872291,-0.002,0.0324999999999999,,0.0039370078740157,0.009155261915998,0.0180451127819549
